mp_code,mp_formal_name,changes
"00789437","PANCREASE MT 10 (amylase 43750 unit and lipase 10500 unit and protease 25000 unit gastro-resistant capsule) JANSSEN INC","ADDED"
"00789445","PANCREASE MT 4 (amylase 17500 unit and lipase 4200 unit and protease 10000 unit gastro-resistant capsule) JANSSEN INC","ADDED"
"00799963","CYSTOSOL W 3% HEXITOLS (mannitol 500 mg per 100 mL and sorbitol 2.5 g per 100 mL irrigation solution) BAXTER CORPORATION","ADDED"
"00800686","Z-PLUS SHAMPOO (menthol 0.3 % and pyrithione zinc 2 % shampoo) DORMER LABORATORIES INC.","tm_code: ""daa49bd4241705e1945e52abab9ca4df"" -> ""8002031"""
"00804789","POTASSIUM PHOSPHATES (potassium phosphate dibasic 236 mg per mL and potassium phosphate monobasic 224 mg per mL solution for injection) SANDOZ CANADA INCORPORATED","ADDED"
"00807788","BLEPHAMIDE OPHT SUSPENSION (prednisolone acetate 0.2 % and sulfacetamide sodium 10 % ophthalmic drops) ALLERGAN INC","tm_code: ""8000810"" -> ""4b730ac8c99cf0ee074537d7a0d37e92""
tm_formal_name: ""prednisolone and sulfacetamide sodium"" -> ""prednisolone and sulfacetamide"""
"00815527","ALMAGEL PLUS SUS (aluminum hydroxide 200 mg per 5 mL and dimethicone 25 mg per 5 mL and magnesium hydroxide 200 mg per 5 mL oral suspension) LABORATOIRE ATLAS INC","ADDED"
"00821373","COTAZYM ECS 20 (amylase 100000 unit and lipase 25000 unit and protease 100000 unit gastro-resistant capsule) MERCK CANADA INC","ADDED"
"00839191","SANDOSTATIN 50MCG/ML (octreotide (octreotide acetate) 50 mcg per 1 mL solution for injection ampoule) NOVARTIS PHARMACEUTICALS CANADA INC","ntp_code: ""b503cf727dc307284f9042073fc9fda5"" -> ""9013476""
tm_code: ""197c1ad5a3b9aee90e54ec94baed77fa"" -> ""8002040"""
"00839205","SANDOSTATIN 100MCG/ML (octreotide (octreotide acetate) 100 mcg per 1 mL solution for injection ampoule) NOVARTIS PHARMACEUTICALS CANADA INC","ntp_code: ""f44330d742b90d29db922f01493aff26"" -> ""9013471""
tm_code: ""197c1ad5a3b9aee90e54ec94baed77fa"" -> ""8002040"""
"00860786","PREPIDIL GEL (dinoprostone 0.5 mg per 2.5 mL endocervical gel syringe) PFIZER CANADA ULC","ntp_code: ""7a74d900bc639df5e216ffde7f4fd4b4"" -> ""9013433"""
"00862975","DIPROLENE (betamethasone (betamethasone dipropionate) 0.05 % lotion) MERCK CANADA INC","ADDED"
"00870153","REFRESH CELLUVISC (sodium carboxymethyl cellulose 1 % ophthalmic drops) ALLERGAN INC","tm_code: ""107ba2abfcf6ecd7921172ba37a6dbfd"" -> ""8002086"""
"00873195","CETRIMIDE TINCTURE 0.5% (cetrimonium bromide 0.5 % NA) CANADIAN CUSTOM PACKAGING COMPANY","ADDED"
"00874426","CETRIMIDE CREAM 0.5% (cetrimonium bromide 0.5 % cutaneous cream) CANADIAN CUSTOM PACKAGING COMPANY","ADDED"
"00888591","MEDI-DAN SHAMPOO (benzalkonium chloride 0.2 % and coal tar 4.25 % and salicylic acid 2 % shampoo) MAHDEEN MEDICEUTICALS LTD","ADDED"
"00893285","NOREPINEPHRINE BITARTRATE INJ 1MG/ML USP (norepinephrine (norepinephrine bitartrate) 4 mg per 4 mL solution for injection vial) SANDOZ CANADA INCORPORATED","ntp_code: ""fb36cbf18c9f80f31e76edc237bc3a7a"" -> ""9013466""
tm_code: ""b768ea135da1f16c28fdc34ea1f5e0ae"" -> ""8002036"""
"00893463","HOT LEMON RELIEF FOR SYMPTOMS OF COUGH AND COLD (dextromethorphan hydrobromide 30 mg per 23 g and pheniramine maleate 20 mg per 23 g and phenylephrine hydrochloride 10 mg per 23 g and vitamin C 50 mg per 23 g powder for oral solution) PHARMETICS (2011) INC","mp_formal_name: ""HOT LEMON RELIEF FOR SYMPTOMS OF COUGH AND COLD (dextromethorphan hydrobromide 30 mg per 23 g and pheniramine maleate 20 mg per 23 g and phenylephrine hydrochloride 10 mg per 23 g and vitamin C 50 mg per 23 g powder for oral solution) PHARMETICS (2011) INC"" -> ""HOT LEMON RELIEF FOR SYMPTOMS OF COUGH AND COLD (dextromethorphan hydrobromide 30 mg per sachet and pheniramine maleate 20 mg per sachet and phenylephrine hydrochloride 10 mg per sachet and vitamin C 50 mg per sachet powder for oral solution) PHARMETICS (2011) INC""
ntp_code: ""9006517"" -> ""83174263604eb671ee3e7f0b592a6072""
ntp_formal_name: ""dextromethorphan hydrobromide 30 mg per 23 g and pheniramine maleate 20 mg per 23 g and phenylephrine hydrochloride 10 mg per 23 g and vitamin C 50 mg per 23 g powder for oral solution"" -> ""dextromethorphan hydrobromide 30 mg per sachet and pheniramine maleate 20 mg per sachet and phenylephrine hydrochloride 10 mg per sachet and vitamin C 50 mg per sachet powder for oral solution"""
"00896187","SODIUM PHOSPHATES INJECTION USP (sodium phosphate dibasic 268 mg per mL and sodium phosphate monobasic 276 mg per mL solution for injection) SANDOZ CANADA INCORPORATED","ADDED"
"00896675","GAS-X EXTRA STRENGTH (simethicone 125 mg chewable tablet) GLAXOSMITHKLINE CONSUMER HEALTHCARE INC.","ADDED"
"01907875","GAS-X REGULAR STRENGTH (simethicone 80 mg oral tablet) GLAXOSMITHKLINE CONSUMER HEALTHCARE INC.","ADDED"
"01919679","PROSTIN E2 VAGINAL GEL (dinoprostone 1 mg per 3 g vaginal gel syringe) PFIZER CANADA ULC","ntp_code: ""5301dc4d84f9d23b964f59b038a759e3"" -> ""9013434"""
"01919687","PROSTIN E2 VAGINAL GEL (dinoprostone 2 mg per 3 g vaginal gel syringe) PFIZER CANADA ULC","ntp_code: ""b7e7c48ee9c6fb4167283cfdefe877b9"" -> ""9013435"""
"01926799","IMOVANE 7.5 - TAB 7.5MG (zopiclone 7.5 mg oral tablet) SANOFI-AVENTIS CANADA INC","mp_formal_name: ""IMOVANE 7.5 - TAB 7.5MG (zopiclone 7.5 mg oral tablet) SANOFI-AVENTIS CANADA INC"" -> ""IMOVANE (zopiclone 7.5 mg oral tablet) SANOFI-AVENTIS CANADA INC"""
"01928775","BALMINIL DM  (3MG/ML SUCROSE FREE) (dextromethorphan hydrobromide 3 mg per mL syrup) TEVA CANADA LIMITED","mp_formal_name: ""BALMINIL DM  (3MG/ML SUCROSE FREE) (dextromethorphan hydrobromide 3 mg per mL syrup) TEVA CANADA LIMITED"" -> ""BALMINIL DM  (3MG/ML SUCROSE FREE) (dextromethorphan hydrobromide 15 mg per 5 mL syrup) TEVA CANADA LIMITED""
ntp_code: ""9001833"" -> ""9001832""
ntp_formal_name: ""dextromethorphan hydrobromide 3 mg per mL syrup"" -> ""dextromethorphan hydrobromide 15 mg per 5 mL syrup"""
