"tm_code","tm_formal_name","ntp_code","ntp_formal_name","mp_code","mp_formal_name"
8000066,"baclofen",9000104,"baclofen 10 mg oral tablet","02236507","RATIO-BACLOFEN (baclofen 10 mg oral tablet) TEVA CANADA LIMITED"
8000066,"baclofen",9000218,"baclofen 20 mg oral tablet","02236508","RATIO-BACLOFEN (baclofen 20 mg oral tablet) TEVA CANADA LIMITED"
8000115,"glyburide",9000250,"glyburide 5 mg oral tablet","02236548","RIVA-GLYBURIDE (glyburide 5 mg oral tablet) PHARMEL INC"
8000115,"glyburide",9000250,"glyburide 5 mg oral tablet","02236734","PMS-GLYBURIDE (glyburide 5 mg oral tablet) PHARMASCIENCE INC"
8000072,"valproic acid (valproate)",9000759,"valproic acid (sodium valproate) 250 mg per 5 mL syrup","02236807","PMS-VALPROIC ACID (valproic acid (sodium valproate) 250 mg per 5 mL syrup) PHARMASCIENCE INC"
8000249,"valsartan",9000771,"valsartan 80 mg oral capsule","02236808","DIOVAN 80MG (valsartan 80 mg oral capsule) NOVARTIS PHARMACEUTICALS CANADA INC"
8000249,"valsartan",9000770,"valsartan 160 mg oral capsule","02236809","DIOVAN 160MG (valsartan 160 mg oral capsule) NOVARTIS PHARMACEUTICALS CANADA INC"
8000027,"azathioprine",9000036,"azathioprine 50 mg oral tablet","02236819","TEVA-AZATHIOPRINE (azathioprine 50 mg oral tablet) TEVA CANADA LIMITED"
8000181,"domperidone",9000463,"domperidone (domperidone maleate) 10 mg oral tablet","02236857","DOMPERIDONE-10 (domperidone (domperidone maleate) 10 mg oral tablet) PRO DOC LIMITEE"
8000095,"acyclovir",9006257,"acyclovir (acyclovir sodium) 500 mg per 20 mL solution for injection vial","02236916","ACYCLOVIR SODIUM INJECTION (acyclovir (acyclovir sodium) 500 mg per 20 mL solution for injection vial) PFIZER CANADA INC"
8000095,"acyclovir",9000800,"acyclovir (acyclovir sodium) 500 mg per 10 mL solution for injection vial","700059","ACYCLOVIR SODIUM INJECTION (acyclovir (acyclovir sodium) 500 mg per 10 mL solution for injection vial) FRESENIUS KABI CANADA LTD"
8000095,"acyclovir",9000799,"acyclovir (acyclovir sodium) 1000 mg per 20 mL solution for injection vial","700060","ACYCLOVIR SODIUM INJECTION (acyclovir (acyclovir sodium) 1000 mg per 20 mL solution for injection vial) FRESENIUS KABI CANADA LTD"
