ccdd_code,ccdd_formal_name,ccdd_type,policy_type,policy_reference,special_groupings_status,special_groupings_status_effective_time,changes
02245758,PMS-OXYCODONE - ACETAMINOPHEN (acetaminophen 325 mg and oxycodone hydrochloride 5 mg oral tablet) PHARMASCIENCE INC,MP,500001,http://www.gazette.gc.ca/rp-pr/p1/2017/2017-06-17/html/reg8-eng.php,Inactive,20250401,"special_groupings_status: ""ACTIVE"" -> INACTIVE
special_groupings_status_effective_time: ""20170919"" -> 20250401"
02341220,BUTRANS 20 (buprenorphine 20 mcg per hour transdermal patch) PURDUE PHARMA,MP,500001,http://www.gazette.gc.ca/rp-pr/p1/2017/2017-06-17/html/reg8-eng.php,Inactive,20250401,"special_groupings_status: ""ACTIVE"" -> INACTIVE
special_groupings_status_effective_time: ""20170919"" -> 20250401"
9001043,methadone hydrochloride 25 mg oral tablet,NTP,500001,http://www.gazette.gc.ca/rp-pr/p1/2017/2017-06-17/html/reg8-eng.php,Inactive,20250401,"special_groupings_status: ""ACTIVE"" -> INACTIVE
special_groupings_status_effective_time: ""20170919"" -> 20250401"
01916475,PERCOCET (acetaminophen 325 mg and oxycodone hydrochloride 5 mg oral tablet) BRISTOL-MYERS SQUIBB CANADA,MP,500001,http://www.gazette.gc.ca/rp-pr/p1/2017/2017-06-17/html/reg8-eng.php,Inactive,20250401,"special_groupings_status: ""ACTIVE"" -> INACTIVE
special_groupings_status_effective_time: ""20170919"" -> 20250401"
8000349,acetaminophen and tramadol,TM,500001,http://www.gazette.gc.ca/rp-pr/p1/2017/2017-06-17/html/reg8-eng.php,Inactive,20250401,"special_groupings_status: ""ACTIVE"" -> INACTIVE
special_groupings_status_effective_time: ""20170919"" -> 20250401"
02324628,APO-OXYCODONE/ACET (acetaminophen 325 mg and oxycodone hydrochloride 5 mg oral tablet) APOTEX INC,MP,500001,http://www.gazette.gc.ca/rp-pr/p1/2017/2017-06-17/html/reg8-eng.php,Inactive,20250401,"special_groupings_status: ""ACTIVE"" -> INACTIVE
special_groupings_status_effective_time: ""20170919"" -> 20250401"
02015439,MS CONTIN (morphine sulfate 15 mg prolonged-release oral tablet) PURDUE PHARMA,MP,500001,http://www.gazette.gc.ca/rp-pr/p1/2017/2017-06-17/html/reg8-eng.php,Inactive,20250401,"special_groupings_status: ""ACTIVE"" -> INACTIVE
special_groupings_status_effective_time: ""20170919"" -> 20250401"
02247699,METADOL (methadone hydrochloride 5 mg oral tablet) PALADIN PHARMA INC.,MP,500001,http://www.gazette.gc.ca/rp-pr/p1/2017/2017-06-17/html/reg8-eng.php,Inactive,20250401,"special_groupings_status: ""ACTIVE"" -> INACTIVE
special_groupings_status_effective_time: ""20170919"" -> 20250401"
02496151,FENTANYL INJECTION BP (fentanyl (fentanyl citrate) 250 mcg per 5 mL solution for injection vial) STERIMAX INC,MP,500001,http://www.gazette.gc.ca/rp-pr/p1/2017/2017-06-17/html/reg8-eng.php,Inactive,20250401,"special_groupings_status: ""ACTIVE"" -> INACTIVE
special_groupings_status_effective_time: ""20170919"" -> 20250401"
02244791,SANDOZ MORPHINE SR (morphine sulfate 30 mg prolonged-release oral tablet) SANDOZ CANADA INCORPORATED,MP,500001,http://www.gazette.gc.ca/rp-pr/p1/2017/2017-06-17/html/reg8-eng.php,Inactive,20250401,"special_groupings_status: ""ACTIVE"" -> INACTIVE
special_groupings_status_effective_time: ""20170919"" -> 20250401"
02184451,KADIAN (morphine sulfate 100 mg prolonged-release oral capsule) BGP PHARMA ULC,MP,500001,http://www.gazette.gc.ca/rp-pr/p1/2017/2017-06-17/html/reg8-eng.php,Inactive,20250401,"special_groupings_status: ""ACTIVE"" -> INACTIVE
special_groupings_status_effective_time: ""20170919"" -> 20250401"
9000016,hydrocodone 5 mg and phenyltoloxamine 10 mg prolonged-release oral tablet,NTP,500001,http://www.gazette.gc.ca/rp-pr/p1/2017/2017-06-17/html/reg8-eng.php,Inactive,20250401,"special_groupings_status: ""ACTIVE"" -> INACTIVE
special_groupings_status_effective_time: ""20170919"" -> 20250401"
02500701,MORPHINE SULFATE INJECTION (morphine sulfate 2 mg per 1 mL solution for injection ampoule) JAMP PHARMA CORPORATION,MP,500001,http://www.gazette.gc.ca/rp-pr/p1/2017/2017-06-17/html/reg8-eng.php,Inactive,20250401,"special_groupings_status: ""ACTIVE"" -> INACTIVE
special_groupings_status_effective_time: ""20170919"" -> 20250401"
