mp_code,mp_formal_name,changes
"02275856","DURAGESIC (fentanyl 100 mcg per hour transdermal patch) JANSSEN INC","DELETED"
"02281260","ACT FLUCONAZOLE (fluconazole 50 mg oral tablet) TEVA CANADA LIMITED","mp_formal_name: ""ACT FLUCONAZOLE (fluconazole 50 mg oral tablet) ACTAVIS PHARMA COMPANY"" -> ""ACT FLUCONAZOLE (fluconazole 50 mg oral tablet) TEVA CANADA LIMITED"""
"02281279","ACT FLUCONAZOLE (fluconazole 100 mg oral tablet) TEVA CANADA LIMITED","mp_formal_name: ""ACT FLUCONAZOLE (fluconazole 100 mg oral tablet) ACTAVIS PHARMA COMPANY"" -> ""ACT FLUCONAZOLE (fluconazole 100 mg oral tablet) TEVA CANADA LIMITED"""
"02285568","COLGATE TOTAL - ADVANCED HEALTH (sodium fluoride 0.243 % and triclosan 0.3 % toothpaste) COLGATE-PALMOLIVE CANADA INC","DELETED"
"02294559","PMS-PROPAFENONE (propafenone hydrochloride 150 mg oral tablet) PHARMASCIENCE INC","DELETED"
"02294575","PMS-PROPAFENONE (propafenone hydrochloride 300 mg oral tablet) PHARMASCIENCE INC","DELETED"
"02299291","DOM-VENLAFAXINE XR (venlafaxine (venlafaxine hydrochloride) 37.5 mg prolonged-release oral capsule) DOMINION PHARMACAL","DELETED"
"02299305","DOM-VENLAFAXINE XR (venlafaxine (venlafaxine hydrochloride) 75 mg prolonged-release oral capsule) DOMINION PHARMACAL","DELETED"
"02299313","DOM-VENLAFAXINE XR (venlafaxine (venlafaxine hydrochloride) 150 mg prolonged-release oral capsule) DOMINION PHARMACAL","DELETED"
"02299909","CUBICIN (daptomycin 500 mg per vial powder for solution for injection) CUBIST PHARMACEUTICALS LLC","DELETED"
"02321475","ACT REPAGLINIDE (repaglinide 0.5 mg oral tablet) TEVA CANADA LIMITED","mp_formal_name: ""ACT REPAGLINIDE (repaglinide 0.5 mg oral tablet) ACTAVIS PHARMA COMPANY"" -> ""ACT REPAGLINIDE (repaglinide 0.5 mg oral tablet) TEVA CANADA LIMITED"""
"02321483","ACT REPAGLINIDE (repaglinide 1 mg oral tablet) TEVA CANADA LIMITED","mp_formal_name: ""ACT REPAGLINIDE (repaglinide 1 mg oral tablet) ACTAVIS PHARMA COMPANY"" -> ""ACT REPAGLINIDE (repaglinide 1 mg oral tablet) TEVA CANADA LIMITED"""
"02321491","ACT REPAGLINIDE (repaglinide 2 mg oral tablet) TEVA CANADA LIMITED","mp_formal_name: ""ACT REPAGLINIDE (repaglinide 2 mg oral tablet) ACTAVIS PHARMA COMPANY"" -> ""ACT REPAGLINIDE (repaglinide 2 mg oral tablet) TEVA CANADA LIMITED"""
"02324059","ACT MEMANTINE (memantine hydrochloride 5 mg oral tablet) TEVA CANADA LIMITED","ADDED"
"02324067","ACT MEMANTINE (memantine hydrochloride 10 mg oral tablet) TEVA CANADA LIMITED","mp_formal_name: ""ACT MEMANTINE (memantine hydrochloride 10 mg oral tablet) ACTAVIS PHARMA COMPANY"" -> ""ACT MEMANTINE (memantine hydrochloride 10 mg oral tablet) TEVA CANADA LIMITED"""
"02326590","PMS-ROPINIROLE (ropinirole (ropinirole hydrochloride) 0.25 mg oral tablet) PHARMASCIENCE INC","DELETED"
"02326612","PMS-ROPINIROLE (ropinirole (ropinirole hydrochloride) 1 mg oral tablet) PHARMASCIENCE INC","DELETED"
"02326620","PMS-ROPINIROLE (ropinirole (ropinirole hydrochloride) 2 mg oral tablet) PHARMASCIENCE INC","DELETED"
